#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Pokedex Entry
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,A mushroom grown larger than the host's body controls Parasect. It scatters poisonous spores.
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,"A Pokemon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,"It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly."
53,Persian,Normal,,440,65,70,60,65,65,115,1,False,"A very haughty Pokemon. Among fans, the size of the jewel in its forehead is a topic of much talk."
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,"Overwhelmed by enigmatic abilities, it suffers a constant headache. It sometimes uses mysterious powers."
55,Golduck,Water,,500,80,82,78,95,80,85,1,False,It is seen swimming dynamically and elegantly using its well-developed limbs and flippers.
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,"It grows angry if you see its eyes and gets angrier if you run. If you beat it, it gets even madder."
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,A Pokemon with a loyal nature. It will remain motionless until it is given an order by its Trainer.
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,Its proud and regal appearance has captured the hearts of people since long ago.
60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,The spiral pattern on its belly subtly undulates. Staring at it gradually causes drowsiness.
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,"With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting."
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,It stares at its silver spoon to focus its mind. It emits more alpha waves while doing so.
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,The spoons clutched in its hands are said to have been created by its psychic powers.
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,"Though small in stature, it is powerful enough to easily heft and throw a number of Geodude at once."
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,It happily carries heavy cargo to toughen up. It willingly does hard work for people.
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,Its four muscled arms slam foes with powerful punches and chops at blinding speed.
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,It prefers hot and humid environments. It is quick at capturing prey with its vines.
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,A Pokemon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,"It pools in its mouth a fluid with a honeylike scent, which is really an acid that dissolves anything."
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,"Because its body is almost entirely composed of water, it shrivels up if it is washed ashore."
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,It extends its 80 tentacles to form an encircling poisonous net that is difficult to escape.
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,"At rest, it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily."
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,"It rolls on mountain paths to move. Once it builds momentum, no Pokemon can stop it without difficulty."
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,"Even dynamite can't harm its hard, boulderlike body. It sheds its hide just once a year."
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance."
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,"Though usually dim witted, it seems to become inspired if the Shellder on its tail bites down."
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,"The faster the units at its sides rotate, the greater the magnetic force they generate."
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,Many mysteriously appear when more sunspots dot the sun. They stop TV sets from displaying properly.
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,It can't live without the stalk it holds. That's why it defends the stalk from attackers with its life.
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,"When Doduo evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph."
86,Seel,Water,,325,65,45,55,45,70,45,1,False,A Pokemon that lives on icebergs. It swims in the sea using the point on its head to break up ice.
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,"In snow, the pure white coat covering its body obscures it from predators."
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,It was born when sludge in a dirty stream was exposed to the moon's X-rays. It appears among filth.
89,Muk,Poison,,500,105,105,75,65,100,50,1,False,A toxic fluid seeps from its body. The fluid instantly kills plants and trees on contact.
90,Shellder,Water,,305,30,65,100,45,25,40,1,False,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison."
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,It burrows through the ground at a speed of 50 mph while feeding on large boulders.
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,"Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up."
98,Krabby,Water,,325,30,105,90,25,25,50,1,False,It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.
99,Kingler,Water,,475,55,130,115,50,50,75,1,False,"The larger pincer has 10,000-horsepower strength. However, it is so heavy, it is difficult to aim."
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,It looks just like a Poke Ball. It is dangerous because it may electrocute or explode on touch.
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False,It is known to drift on winds if it is bloated to bursting with stored electricity.
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,Its six eggs converse using telepathy. They can quickly gather if they become separated.
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,"It is called ""The Walking Jungle."" If a head grows too big, it falls off and becomes an Exeggcute."
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,"From its birth, this savage Pokemon constantly holds bones. It is skilled in using them as weapons."
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,Its legs can stretch double. First-time foes are startled by its extensible reach.
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,"When it extends its over-six-foot-long tongue, its tail quivers. There is a possibility they are connected."
109,Koffing,Poison,,340,40,65,95,60,45,35,1,False,"Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive."
110,Weezing,Poison,,490,65,90,120,85,70,60,1,False,"It grows by feeding on gases released by garbage. Though very rare, triplets have been found."
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,"Its powerful tackles can destroy anything. However, it is too slow witted to help people work."
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,"Standing on its hind legs freed its forelegs and made it smarter. It is very forgetful, however."
113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,A kindly Pokemon that lays highly nutritious eggs and shares them with injured Pokemon or people.
114,Tangela,Grass,,435,65,55,115,100,40,60,1,False,The blue vines shrouding its body are covered in a growth of fine hair. It is known to be ticklish.
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
116,Horsea,Water,,295,30,40,70,70,25,60,1,False,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
117,Seadra,Water,,440,55,65,95,95,45,85,1,False,Its spines provide protection. Its fins and bones are prized as traditional medicine ingredients.
118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,"Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn."
119,Seaking,Water,,450,80,92,65,65,80,68,1,False,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors."
120,Staryu,Water,,340,30,45,55,70,55,85,1,False,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight."
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,"At the center of its body is a red core, which sends mysterious radio signals into the night sky."
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,It windmills its arms to slightly boost its punches. Foes have been known to escape in the meantime.
126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,"When it breathes deeply, heat waves form around its body, making it hard to see clearly."
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,"It grips prey with its pincers until the prey is torn in half. What it can't tear, it tosses far."
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,"A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though."
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm."
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,It loves crossing the sea with people and Pokemon on its back. It understands human speech.
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,"Because its genetic makeup is irregular, it quickly changes its form due to a variety of causes."
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,"Its cell composition is similar to water molecules. As a result, it can melt away into water."
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,"If agitated, it uses electricity to straighten out its fur and launch it in small bunches."
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,"Inhaled air is heated in the flame sac in its body to an intense fire over 3,000 degrees Fahrenheit."
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,A man-made Pokemon created using advanced scientific means. It can move freely in cyberspace.
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,A Pokemon that was resurrected from a fossil using modern science. It swam in ancient seas.
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,It is thought that this Pokemon became extinct because its spiral shell grew too large.
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,It is thought that this Pokemon came onto land because its prey adapted to life on land.
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly."
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains. 
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts. 
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames. 
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,"It is called the ""Mirage Pokemon"" because so few have seen it. Its shed skin has been found."
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,"If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes."
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments. 
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide. 
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,The buds that ring its neck give off a spicy aroma that perks people up.
154,Meganium,Grass,,525,80,82,100,83,100,80,2,False,Its breath has the fantastic ability to revive dead plants and flowers.
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,It intimidates foes with the heat of its flames. The fire burns more strongly when it readies to fight.
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.
158,Totodile,Water,,314,50,65,64,44,48,43,2,False,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.
159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,"Once it bites down, it won't let go until it loses its fangs. New fangs quickly grow into place."
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
162,Furret,Normal,,415,85,76,64,45,55,90,2,False,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,"It marks time precisely. Some countries consider it to be a wise friend, versed in the world's ways."
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,"It is so timid, it can't move if it isn't with a swarm of others. It conveys its feelings with scent."
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,"It uses starlight as energy. When more stars appear at night, the patterns on its back grow larger."
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,"The transformation of its legs into wings made it better at flying, but more clumsy at walking."
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,It discharges positive and negative electricity from its antenna tips to shock its foes.
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,"Lanturn's light can shine up from great depths. It is nicknamed ""The Deep-Sea Star."""
172,Pichu,Electric,,205,20,40,15,35,35,60,2,False,"The electric sacs in its cheeks are small. If even a little electricity leaks, it becomes shocked."
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,It is often seen when shooting stars fill the night skies. It's said to arrive riding on a shooting star.
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,"It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop."
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False,"It transforms the kindness and joy of others into happiness, which it stores in its shell."
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,"To share its happiness, it flies around the world seeking kind-hearted people."
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,"It picks food from cactus plants, deftly avoiding buds and spines. It seems to skip about to move."
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,This odd Pokemon can see both the past and the future. It eyes the sun's movement all day.
179,Mareep,Electric,,280,55,40,40,65,45,35,2,False,Its fluffy coat swells to double when static electricity builds up. Touching it can be shocking.
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light."
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False,"When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open."
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,The oil-filled end of its tail floats on water. It keeps Marill from drowning even in a strong current.
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,"It can spend all day in water, since it can inhale and store a large volume of air."
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain."
186,Politoed,Water,,500,90,75,75,90,100,70,2,False,It gathers groups of others as their leader. Its cries make Poliwag obey.
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,"It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way."
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
190,Aipom,Normal,,360,55,70,55,40,55,85,2,False,It lives high among the treetops. It can use its tail as freely and cleverly as its hands.
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False,"It suddenly falls out of the sky in the morning. A year after a cold summer, their population explodes."
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False,It gets energy from warm sunlight and is known for its habit of moving in pursuit of it.
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,It can hover in one spot by flapping its wings at high speed. It flits about to guard its territory.
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating."
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,It has an easygoing nature. It doesn't care if it bumps its head on boats and boulders while swimming.
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False,"Its fur is so sensitive, it can sense minute shifts in the air and predict the weather."
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False,"When exposed to the moon's aura, the rings on its body glow faintly and it gains a mysterious power."
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,"If spotted, it will lure an unwary person into chasing it, then lose the pursuer on mountain trails."
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,Being bitten by Shellder gave it intelligence comparable to that of award-winning scientists.
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False,A Pokemon that startles people in the middle of the night. It gathers fear as its energy.
201,Unown,Psychic,,336,48,72,48,72,48,48,2,False,"When alone, nothing happens. However, if there are two or more, an odd power is said to emerge."
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,The head on its tail contains a small brain. It can instinctively fight even while facing backward.
204,Pineco,Bug,,290,50,65,90,35,35,15,2,False,It looks just like a pinecone. Its shell protects it from bird Pokemon that peck it by mistake.
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,"It glides as if sliding. It startles foes by clamping on to their faces, then jabs with its poison stinger."
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False,"Small Pokemon flee from its scary face. It is, however, considered by women to be cute."
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False,"It is timid in spite of its looks. If it becomes enraged, however, it will strike with its huge fangs."
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,It shoots the poison spines on its body in all directions. Its round form makes it a poor swimmer.
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,It raises its pincers with eyelike markings for intimidation. It also swings them down dangerously.
